"I love this product",1
"This is terrible",0
"Not bad, could be better",1
"Absolutely fantastic!",1
"Really disappointing",0
"Amazing quality and fast delivery",1
"Would not recommend",0
"Pretty decent overall",1
"Totally worth it",1
"Very poor experience",0
"Exceeded my expectations",1
"Never buying again",0
"Quite satisfied with this",1
"Horrible service",0
"Top-notch item",1
"Disappointing purchase",0
"Impressive and reliable",1
"Awful, broke immediately",0
"Happy with my order",1
"Regret buying this",0
